"ET.estat";"i.name.no";"Datakilde";"Dev.status";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"j: river";"Potensielt gift aluminium (LAl, UM-Al) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"j: river";"Vannets syrenøytraliserende kapasitet (ANC) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"p";"mdc"
"j: river";"AIP: Forsuringsindeks for begroingsalger i elv";"NIVA (Suzanne Schneider) + Vannmiljø";"2";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"PIT: Eutrofieringsindeks for begroingsalger i elv";"NIVA (Suzanne Schneider) + Vannmiljø";"2";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"ASPT: Average Score Per Taxon - litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"RAMI: Forsuringsindeks for litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"Raddum forsuringsindeks-2 - litorale bunndyr i elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"j: river";"Elvemusling (Margaritifera margaritifera) - terskelindikator i elv";"NINA  + Vannmiljø";"2";;"1";"annet";"B1a";"bm";"??";"exp"
"j: river";"HBI2: Heterotrof begroingsindeks for elv";"NIVA  + Vannmiljø";"2";;"1";"annet";"A2";"bm";"n";"mdc"
"j: river";"NEFI: Norsk endringsindeks for fisk - elver og innsjøer";"NINA  + Vannmiljø";"2";;"1";"annet";"B1b";"bm";"p";"mdc"
"j: river";"Bestandsendring fisk";"NINA  + Vannmiljø";"2";;"1";"annet";"B1b";"bm";"n";"mdc"
"j: river";"Tetthet av ungfisk i elver basert på laks og ørret";"NINA  + Vannmiljø";"2";;"1";"annet";"B1a";"bm";"p";"oth"
"j: river";"Fragmenteringsgrad (FG)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"C1";"lm";"n";"exp"
"j: river";"Barriereeffekt (BE)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"C1";"lm";"n";"exp"
"j: river";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";"2";;"1";;"A2";"";"";""
"j: river";"Økologisk tilstand (nEQR)";"Vann-nett";"2";;"1";;"X";"";"";""
"k: lake";"Areal uten tekniske inngrep";"MDir*";"1";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"k: lake";"Reguleringshøyde";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A1";"af";"n";"exp"
"k: lake";"Forholdet mellom reguleringshøyde og siktedyp";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A1";"af";"n";"exp"
"k: lake";"Siktedyp";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A1";"af";"p";"mdc"
"k: lake";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"k: lake";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"p";"exp"
"k: lake";"pH - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"p";"mdc"
"k: lake";"Potensielt gift aluminium (LAl, UM-Al) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"Vannets syrenøytraliserende kapasitet (ANC) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"p";"mdc"
"k: lake";"TIc: Vannplanteindeks for eutrofiering i innsjøer";"NIVA (Marit Mjelde) + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"SIc: Vannplanteindeks for forsuring i innsjøer";"NIVA (Marit Mjelde) + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"WIc: Vannplanteindeks for vannstandsvariasjoner i reguleringsmagasin";"NIVA (Marit Mjelde) + Vannmiljø";"2";;"1";"annet";"A1";"bm";"p";"mdc"
"k: lake";"LAMI: Forsuringsindeks for litorale bunndyr i innsjøer";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"Raddum forsuringsindeks-1 - litorale bunndyr i elver og innsjøer";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"MultiClear: Multimetrisk bunndyrindeks for forsuring av klare innsjøer";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"PTI: Planteplankton Trofisk indeks";"NIVA (Birger Skjelbred) + Vannmiljø";"2";;"1";"annet";"A2";"bm";"n";"mdc"
"k: lake";"LACI-1: Forsuringindeks for småkreps i svært kalkfattige innsjøer";"NINA (Ann Kristin Schartau) + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"LACI-2: Forsuringindeks for småkreps i kalkfattige innsjøer";"NINA (Ann Kristin Schartau) + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"NEFI: Norsk endringsindeks for fisk - elver og innsjøer";"NINA  + Vannmiljø";"2";;"1";"annet";"B1b";"bm";"p";"mdc"
"k: lake";"Bestandsendring fisk";"NINA  + Vannmiljø";"2";;"1";"annet";"B1b";"bm";"n";"mdc"
"k: lake";"EIndexW3: Eutrofieringsindeks for fisk i innsjøer";"NINA  + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"AIndexW5: Forsuringsindeks for fisk i innsjøer";"NINA  + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"WS-FBI: Pelagisk fiskeindeks for innsjøer";"NINA  + Vannmiljø";"2";;"1";"annet";"B1a";"bm";"p";"mdc"
"k: lake";"Cpue_aure: Bestandsstørrelse av brunørret relatert til innsjøers oppvekstratio (OR)";"NINA  + Vannmiljø";"2";;"1";"annet";"B1a";"bm";"p";"mdc"
"k: lake";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";"2";;"1";"annet";"B2";"pr";"n";"mdc"
"k: lake";"Total biomasse planteplankton per volumenhet";"NIVA (Birger Skjelbred) + Vannmiljø";"2";;"1";"annet";"B2";"pr";"n";"mdc"
"k: lake";"Cyanomax: Maksimalt volum av cyanobakterier i innsjøer";"NIVA (Birger Skjelbred) + Vannmiljø";"2";;"1";"annet";"B3";"fs?";"n";"mdc"
"k: lake";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";"2";;"1";;"A2";"";"";""
"k: lake";"Økologisk tilstand (nEQR)";"Vann-nett";"2";;"1";;"X";"";"";""
"i: coas.t";"Fravær av fremmede plantearter";"MDir";"p2";"2019";"5";"fylke/region";"B1a";"fs";"p";"zer"
"i: coas.t";"Kongeørn";"MDir & NINA";"p2";"2010";"5";"fylke/region";"B1a";"fb, fg";"p";"??"
"i: coas.t";"Jerv";"MDir & NINA";"p2";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"i: coas.t";"Fjellrev";"MDir & NINA";"p1";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"i: coas.t";"Fjellrype";"MDir";"p2";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"i: coas.t";"Butterfly abundance and diversity";"NINA (Jens Åström)";"p1";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"i: coas.t";"Naturindeks (modifisert)";"MDir & NINA";"p1";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"i: coas.t";"Ellenberg F";"MDir";"p1";"2019";"5";"fylke/region";"A1";"af";"u";"mod"
"i: coas.t";"Ellenberg L";"MDir";"p1";"2019";"5";"fylke/region";"B3";"af";"u";"mod"
"i: coas.t";"Ellenberg R";"NINA (Joachim Töpper)";"p1";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"i: coas.t";"Vegetasjonens varmekrav";"MDir";"p2";"2019";"5";"fylke/region";"A1";"af";"n";"mod"
"i: coas.t";"Ellenberg N";"MDir";"p1";"2019";"5";"fylke/region";"A2";"pr, af";"u";"mod"
"i: coas.t";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"p1";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"i: coas.t";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"p1";"2019";"5";"fylke/region";"B3";"fg, bm";"u";"mod"
"i: coas.t";"Smågnagere";"MDir";"p1";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"i: coas.t";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"p1";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"i: coas.t";"Normalisert årlig maksimal NDVI";"NASA*";"2";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"i: coas.t";"NDVI flerårig trend";"NASA*";"1";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"i: coas.t";"Slitasje";"NINA (Anders Kolstad)";"p2";"2019";"5";"fylke/region";"B3";"pr";"p";"zer"
"i: coas.t";"Biomasse klovdyr";"NTNU (James Speed)";"p2";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"i: coas.t";"Biomasse rovdyr";"NTNU (James Speed)";"p2";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"i: coas.t";"Konnektivitet";"Statens kartverk*";"p1";"2021";;"ingen (nasj)";"C1";"lm";"u";"mod"
"i: coas.t";"Areal uten tekniske inngrep";"MDir*";"p3";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"l: coas.w";"Konnektivitet";"Statens kartverk*";"p1";"2021";;"ingen (nasj)";"C1";"lm";"u";"mod"
"l: coas.w";"Areal uten tekniske inngrep";"MDir*";"p1";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
