"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"f: shrub";"fj.06";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"f: shrub";"fj.04";"Lirype";"NINA";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"f: shrub";"fj.05";"Fjellrype";"MDir";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"f: shrub";"vs.18";"Farmland bird communities";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"f: shrub";"vs.17, vs.38";"Butterfly abundance and diversity";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"f: shrub";"vs.47";"Species richness of flying insects";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"bm";"p";"??"
"f: shrub";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"f: shrub";"sk.03, vs.30";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"f: shrub";"fj.14, vs.04";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"f: shrub";"vs.41";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"f: shrub";"fj.15";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"f: shrub";"sk.02, fj.13, vs.03";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"f: shrub";"vs.41b";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"f: shrub";"vs.41c";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"f: shrub";"vs.41d";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"f: shrub";"vs.48";"Total insektsbiomasse";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1a";"fs";"p";"??"
"f: shrub";"fj.03";"Smågnagere";"MDir";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"f: shrub";"fj.02";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"f: shrub";"sk.10";"Store hjortedyr";"MDir & NINA";"1990";"1";"kommune";"B1a";"fb";"u";"mod"
"f: shrub";"vs.16, vs.37";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"f: shrub";"vs.45, vs.72";"Antall arter av pollinerende insekter";"NINA (Jens Åström), NIBIO (3Q)";"2020";"5";"fylke/region";"B3";"fs";"p";"??"
"f: shrub";"vs.50";"Antall arter møkkbiller";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"fs";"p";"??"
"f: shrub";"vs.05, vs.28";"Gjengroing";"NINA (Zander Venter)";"2010";"Inf";"~10 m";"B2";"fs";"n";"mdc"
"f: shrub";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"f: shrub";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"f: shrub";"vs.64";"Slitasje";"NINA (Anders Kolstad)";"2019";"5";"fylke/region";"B3";"pr";"n";"zer"
"f: shrub";"vs.11, vs.71";"Biomasse klovdyr";"NTNU (James Speed)";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"f: shrub";"vs.74";"Biomasse rovdyr";"NTNU (James Speed)";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"f: shrub";"fj.11, vs.02";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"f: shrub";"sk.13, fj.10, vs.02";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"f: shrub";"nb.16";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"g: SVL";"fj.16";"Areal av isbreer";"NVE (Liss Marie Andreassen)";"1966";"Inf";"ingen (nasj)";"A1";"af";"p";"sta"
"g: SVL";"sk.04, fj.09, vs.29";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"g: SVL";"fj.08";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??"
"g: SVL";"fj.07";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"g: SVL";"fj.06";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
